level,unit,week,lesson,word,syllables,sounds,definition,example_1,example_2,example_3,non_example,syntax,etymology,word_sums,suffixes,apply,dictation,thumbs
1,1,3,3,project,pro | ject,,A project is a task that takes a lot of time and work. It can also be the act of putting something forward.,An art project might take weeks to complete.,"Projects to improve roads, bike paths and parks are often managed by the government.",Cinemas use a machine to project the film onto a large screen.,,noun :: The project :: will take the students three weeks. || verb :: The machine :: projected the picture onto the screen.,"Project is of Latin origin, from proicere, meaning ‘to thrust forward’. || It was first used to mean thrusting an idea forward in your mind, and also was used to talk about a thing that sticks out – for example, a rock could project out from a cliff face.",pro:forward + ject:to throw => project,project + s || project + s || project + ed || project + ing || project + s || project + ed || project + ing || project + or || project + s,Write sentences using at least two of the words you build.,,+ A term-long task where you research and build a model. || + Shining a film onto a large screen at the cinema. || - Answering one quick question in your head. || - Whispering so nobody can hear you.
1,1,3,4,object,ob | ject,,An object is a non-living thing with a fixed shape that you can touch or see. It is also the action of saying you disagree.,"You should try to put heavy objects at the bottom of your shopping bag so they don’t crush lighter objects, like peaches or eggs.","A scale is used to weigh objects, such as ingredients for cooking or your luggage before flying on a plane.",,"If you are told you have to share an ice-cream with your brother or sister, you might object by saying, ‘I don’t want to!’.",noun :: A heavy object :: should be put at the bottom of the shopping bag. || verb :: The man :: objected to being told to wait.,"Object is of Latin origin, from objicere, meaning ‘to throw before or put in front of’. || Its meaning in English has been much the same for about 600 years.","ob:in front of, towards, against + ject:to throw => object",object + s || object + s || object + ed || object + ing || object + s || object + ed || object + ing || object + or || object + s,,,+ A rock you can pick up and turn over in your hand. || + The stapler sitting on the teacher's desk. || - A feeling of excitement before a holiday. || - A puppy running across the oval.
1,1,4,1,react,re | act,,To react to something is to behave in a particular way because of it.,Well-trained dogs react by sitting when told to ‘sit’.,"You might react to being pinched by saying, ‘stop that!’",People often react to good news by smiling or cheering.,"If you don’t jump or gasp when someone jumps out at you, then you are not reacting to them.",verb :: The boy :: reacted to being poked by his brother.,"React is of Latin origin, from the word reagere, meaning ‘to drive or to do’. || It was first used in the 1600s to talk about how chemicals behaved when mixed with other chemicals – for example, how bicarbonate of soda reacts to vinegar when they are mixed, which is what we do to make a model of a volcano erupting.","re:back, again + act:to do => react",react + s || react + ed || react + ing || react + or || react + s,"Would the word react be used for these situations? || Explain why/why not: || Saying ‘ouch’ when you stub your toe against the table leg? || Soft drink fizzing up when you shake the bottle up? || Someone ignores you when you say, ‘hello’? || Someone waves to you when you say, ‘hello’? || What might you see or what might be done in the playground that would lead you to react by laughing/frowning/running to join in a game? || What could cause someone to react by crying/giggling/stopping what they’re doing?",,
1,1,4,2,action,ac | tion,,An action is something you do.,There are a lot of actions for the Baby Shark dance.,"If you’re outside when it’s raining, you have to take action to get under cover.","Action movies, like Thor, can be more exciting than movies with lots of talking.",,"noun :: The dance actions :: are tricky. || noun :: Smiling :: is a reaction to hearing a compliment, like ‘great job!’","Action is of Latin origin. || It first started to be used in the 1400s and at that time, it was not spelled with a ‘t’. The ‘t’ was added back in to the word about 100 years later, so readers could see that ‘act’ and ‘action’ were related words, even though they sounded different.",act:to do + ion:noun of action => action,"action + re:back, again || action + s:plural",Example or non-example? || Jumping on the spot. || Getting up and going to the classroom when the lunch siren rings. || Lying in bed without moving. || The desk you’re sitting at. || Putting your workbook on the desk you’re sitting at.,,
1,1,4,3,active,act | ive,,Someone who is active moves around a lot or does a lot of things.,Puppies are very active when they play together.,Ms Smith is very active in the school community.,Being active can help you stay healthy and happy.,"If you sit on the couch watching a film without moving, you are not being active.",adjective :: Active people :: are usually healthier than people who don’t move as much.,"Active is of Latin origin, from activus, meaning ‘to do or move’. || It was first used to mean something that was able to act, rather than something that did or could not.",act:to do + ive:having the quality or tendency of => active,"active + ly:having the quality of || active + pro || active + forward || active + re || active + back, again || active + ly:having the quality of || active + pro || active + forward || active + re || active + back, again || active + in || active + not || active + ly:having the quality of",,,
1,1,4,4,distraction,dis | trac | tion,,A distraction is something that turns your attention away from something you might want to focus on.,"During a test, the room is kept very quiet to prevent distractions.","A distraction might cause you to forget what you need to do, like putting your lunch in your bag for school.",,Drivers are not allowed to use mobile phones while driving because they are a distraction from the road.,noun :: The loud TV :: was a distraction from homework.,We have already learnt that distract is Latin. || Distraction was used from the 1600s to refer to ‘a thing or fact causing mental diversion or bewilderment’.,"dis:away, apart + tract:to pull + ion:noun of action => distraction","distraction + away, apart || distraction + re || distraction + back, again || distraction + sub || distraction + under || distraction + pro || distraction + forward || distraction + s:plural || distraction + re || distraction + back, again || distraction + in || distraction + into, in || distraction + pro || distraction + forward || distraction + ob || distraction + in front of, against || distraction + ject:to throw || distraction + s:plural",Write sentences using at least two of the words you build.,,
1,1,5,1,export,ex | port,,To export something is to sell it to another country.,Australia exports wheat and meat to countries like Indonesia and Japan.,"On the other hand, Japan exports cars and electronics to Australia.",Many items being exported from WA leave from Fremantle Port.,"If you take your clothes with you on an overseas holiday, you have not exported them because you are not selling them.",verb :: Toyota :: exports cars around the world.,"Export is of Latin origin, from the word exportare, meaning ‘to carry away’. || It has almost always been used to refer to the objects that are sold to another country.","ex:out, away + port:to carry => export",export + s || export + ed || export + ing || export + s || export + ed || export + ing || export + er || export + s,Would the word export be used for these situations? || Explain why/why not: || Yoghurt made in Australia is sent to Singapore to be sold in supermarkets? || Ikea makes furniture in Sweden and then sends it to Australia? || A farmer sells eggs at the market down the road from their farm? || A family on holiday in New Zealand takes a present to give to the friends they are visiting?,,
1,1,5,2,portable,port | able,,"If something is portable, it can be easily carried or moved.",Many people buy laptops instead of desktop computers because laptops are portable.,"An outdoor event, like a concert, might have portable toilets that can be taken away once the event finishes.",Portable fans are very popular in summer.,,adjective :: Portable classrooms :: are often used when schools grow quickly.,"Portable is of Latin origin, from the word portabilis, meaning ‘that which can be carried’.",port:to carry + able:capable of => portable,"portable + ex:out, away",Example or non-example? || Fold-up camping chairs. || A bouncy castle. || The shopping centre. || A smart phone. || A phone that plugs into the wall.,,
1,1,5,3,report,re | port,,To report something is to tell people about something that has happened.,"Journalists report the news of the day on TV, radio or in a newspaper.",A school report tells parents how a student performed at school over the year.,"If someone witnesses a crime, they might report it to the police.",,verb :: The newsreader :: reports what happened in the city each day. || noun :: School reports :: are sent out on the last day of term.,"Report is of Latin origin, from reportare, meaning ‘to carry back’ or ‘tell’.","re:back, again + port:to carry => report",report + s || report + ed || report + ing || report + able || report + er || report + s,,,
1,1,5,4,transport,trans | port,,To transport something is to take it from one place to another.,People often use buses to transport them to school or work.,"In Australia, trucks are used to transport food between cities and towns.","If you are very moved by a piece of music, you might say it transported you.",,verb :: Cars :: transport people from one place to another.,"Transport is of Latin origin, from the word, transportare, meaning ‘to carry’. || It was used to mean ‘carry across’, or ‘to overwhelm with strong emotions’.","trans:beyond, across + port:to carry => transport",transport + s || transport + ed || transport + ing || transport + er || transport + s,Write sentences using at least two of the words you build.,,
1,1,6,1,disrupt,dis | rupt,,To disrupt something is to disturb or interrupt it.,Noisy children disrupt the students sitting near them.,The silence was disrupted by an aeroplane flying overhead.,A train breakdown would disrupt the whole public transport system.,,verb :: The wailing baby :: disrupted the people reading in the library. || noun :: The disruption to the trains :: annoyed many people. || adjective :: Disruptive students :: might be punished with detention.,"Disrupt is of Latin origin, meaning to break or burst apart. || Disrupt has only been in common use for about 200 years; before that, people might have said ‘disrump’ instead, which is closer to the original Latin word ‘disrumpere’.","dis:away, apart + rupt:to break => disrupt",disrupt + s || disrupt + ed || disrupt + ing || disrupt + ive || disrupt + ion || disrupt + s || disrupt + s || disrupt + ed || disrupt + ing || disrupt + ive || disrupt + ion || disrupt + or || disrupt + s,Would the word disrupt be used for these situations? || Explain why/why not: || Hanging up the phone while you’re in the middle of the conversation? || Someone calling out while the principal is making a speech? || Playing loud music during a family party? || Playing loud music while someone is trying to watch the news on TV?,,
1,1,6,2,erupt,erupt,,To erupt is to burst out suddenly and often violently.,Active volcanoes can erupt without warning.,"If you shake a can of soft drink, it might erupt when you open it.","If someone laughs suddenly and loudly, they could be described as erupting with laughter.","If you turn a tap on gently, the water doesn’t erupt, because it doesn’t burst out suddenly.","verb :: The volcano :: erupted suddenly, spraying lava into the air. || noun :: The volcanic eruption :: caused the town’s citizens to flee.","Erupt is of Latin origin, from the word eruptus, meaning ‘to break out, burst’. || It was first used to describe the eruption of Mount Etna, which is a volcano in Italy.","e:out, away + rupt:to break => erupt",erupt + s || erupt + ed || erupt + ing || erupt + ive || erupt + ion || erupt + s,Example or non-example? || A can of soft drink exploding. || Someone suddenly bursting into tears. || The river flowing into the sea. || Water shooting through a blowhole. || Cracking an egg.,,
1,1,6,3,attractive,at | tract | ive,,"If something is attractive, it looks or sounds pleasant, or seems worth having.",Taylor Swift has an attractive singing voice.,A swimming pool is attractive on a hot day.,Actors are usually considered to be attractive.,"A wheelie bin is not attractive, even though it is worth having, because it doesn’t necessarily look or smell pleasant.",adjective :: Kings Park :: is a very attractive garden.,"Attractive and adjective are both of Latin origin. || Attractive comes from attrahere, meaning ‘having the power to draw the eye’. || Adjective comes from adjectivum, meaning ‘to add’. || For a while during the 1800s, adjective was used to politely refer to swear words. Instead of writing down the swear word someone had used, a writer might say the person had used ‘the adjective’.","at:to, towards, near + tract:to pull + ive:having the quality or tendency of => attractive",attractive + s || attractive + ed || attractive + ing || attractive + ion || attractive + s,Write sentences using at least two of the words you build.,,
1,1,6,4,import,im | port,,To import something is to buy it from one country to use or sell in your own country.,"Australia imports electronics, such as smartphones and computers, because we don’t make any here.","Countries that don’t have a coastline, like Switzerland, must import seafood to eat.",Honey cannot be imported into Australia because it might carry infections that will hurt our own bees.,"If you buy something from Sydney when you live in Perth, you are not importing it, because you are buying it within the same country.",verb :: Australia :: imports cars from Europe and Asia.,"Import is the Latin origin, from the word importare, meaning ‘to bring in from abroad’ or from another country.","im:in, into, on, upon + port:to carry => import",import + s || import + ed || import + ing || import + er || import + s,,,
1,1,7,1,construct,con | struct,,To construct something is to build or make it.,"When you buy furniture, sometimes you have to construct it at home by yourself.",The Great Wall of China took hundreds of years to construct.,"Many birds, like eagles and magpies, construct nests to lay their eggs.",We would not say you are constructing a jigsaw puzzle when you put it together because you’re not making it from scratch.,verb :: The children :: constructed a sandcastle.,"Construct is of Latin origin, from the word constructus, meaning to put parts together in their proper place and order. || Construction and constructive come from the same Latin word, but have been used to in English for a couple of hundred years longer than construct.","con:with, together + struct:to build or pile up => construct",construct + s || construct + ed || construct + ing || construct + ible || construct + ion || construct + or || construct + s || construct + ive || construct + ly,Would the word construct be used for these situations? || Explain why/why not: || You put a tent together when you arrive at a camp site? || A new table is delivered to your home ready to use? || Builders make a new apartment tower? || You put new sheets on your bed?,,
1,1,7,2,instruct,in | struct,,To instruct someone is to teach them something or tell them to do something.,"As your teacher, I am currently instructing you in spelling morphology.",Your parent might instruct you to go to bed by 8pm.,A driving instructor teaches people to drive a car.,"If you ask someone a favour, you are not instructing them, because you are not telling them they must do it.","verb :: Teachers :: instruct their students in reading, writing and maths.","Instruct is of Latin origin, from the word instructus, meaning ‘to arrange, set in order, inform or teach’. || Instruction comes from the same Latin word but has been used in English for about 100 years longer.","in:in, into, on, upon + struct:to build or pile up => instruct",instruct + s || instruct + ed || instruct + ing || instruct + ible || instruct + ion || instruct + or || instruct + s || instruct + ive || instruct + ly,"Example or non-example? || Being told to stand behind the line on the train station platform. || Being told you can have milo, hot chocolate, or juice. || Being left to work out how to do a task by yourself. || Being shown how to solve a maths problem.",,
1,1,7,3,destroy,des | troy,,To destroy something is to ruin it or stop it existing.,Termites destroy wooden houses and furniture by eating through it.,The children destroyed their sandcastle by jumping on it.,Dropping a book into a pool is likely to destroy it.,"If your jeans get a bit muddy, they have not been destroyed, because they are not ruined – they can simply be washed.",verb :: The strong winds :: destroyed the shed. || noun :: The tornado :: left a trail of destruction. || adjective :: Puppies :: can be very destructive when they chew on furniture and clothing.,"Destroy is of Latin origin, from destruere, meaning || ‘to tear down’ or ‘un-build’. || It came to English through Old French. || It has been used in English since the 1200s, and destruction and destructive didn’t enter English until about 300 years later.","de:un, down, off, totally, out, away + struct/stroy:to build or pile up => destroy",destroy + s || destroy + ed || destroy + ing || destroy + ion || destroy + er || destroy + s || destroy + ible || destroy + ive || destroy + ly,,,
1,1,7,4,obstruct,ob | struct,,To obstruct something means to block it or stop it happening properly.,"After a storm, fallen trees might obstruct the road.",The tall man obstructed my view at the concert.,Someone might obstruct police if they want to get away with a crime.,"Window tinting is designed so it does not obstruct vision through a window, or block being able to see through the window, but it does obstruct UV rays from the sun.",verb :: The broken-down truck :: obstructed the road.,"Obstruct is of Latin origin, form the word obstructus, meaning to build up, build against, or block.","ob:in front of, towards, against + struct:to build or pile up => obstruct",obstruct + s || obstruct + ed || obstruct + ing || obstruct + ible || obstruct + ion || obstruct + or || obstruct + s || obstruct + ive || obstruct + ly,Write sentences using at least two of the words you build.,,
1,1,8,1,pressure,pres | sure,,Pressure is force caused by pressing hard on something.,You have to put a lot of pressure on to a sleeping bag to get it back in its case.,Bike tyres need high pressure from the air inside in order to ride smoothly.,"Before a test, you might feel there is a lot of pressure to succeed.","If you hold a glass firmly, but without squeezing or pressing hard on it, then you are not putting pressure on it.",noun :: Pressure :: grows as you go deeper underwater. || verb :: The boy :: pressured his friends to play soccer.,"Pressure is of Latin origin, from the word pressura, but it came to English through French. || It originally meant suffering or anguish, in the sense of a pressing on the heart or mind. || It was also used to refer to tools for making cheese, and a torture device!",press:to press or hold tight + ure:action or process => pressure,pressure + s || pressure + ed || pressure + ing,Would the word pressure be used for these situations? || Explain why/why not: || You squeeze a fully inflated balloon. || Someone tries to talk another person into doing something they don’t want to do. || A nurse holds a bandage tightly on a wound. || You gently put a carton of eggs in the fridge.,,
1,1,8,2,suppress,sup | press,,To suppress something is to force it to stop or hide.,Medicine can sometimes help suppress a cough.,The police suppressed a protest in the city.,"If you see someone fall over in a funny way but don’t want to hurt their feelings, you might suppress a smile.","If someone asks you to stop talking during assembly and you do, you are not being suppressed, because you are not being made to stop using force – you are stopping because you know what it is you should be doing.",verb :: The teacher :: suppressed a laugh.,"Suppress is of Latin origin, from the word suppressus, meaning ‘to press down, stop or hold back’.",sup:under + press:to press or to hold tight => suppress,suppress + to press or hold || suppress + tight || suppress + es || suppress + ed || suppress + ing || suppress + ion || suppress + ible || suppress + or || suppress + s || suppress + ive || suppress + ly,Example or non-example? || A teacher stopping a student calling out during assembly. || Keeping quiet while you’re being told off even though you’d like to argue back. || Not laughing at a joke because you didn’t think it was funny. || The government not letting newspapers name someone who committed a crime.,,
1,1,8,3,express,ex | press,,"To express something is to show what you think or feel, or force something out.",The politician expressed her thoughts about the new law.,The toddler expressed his frustration by stamping his foot and crying.,You can make a refreshing drink by expressing the juice from oranges.,"If you tip milk out of a bottle, it is not being expressed, because it doesn’t have to be forced out.",verb :: The principal :: expressed his pride in the Year 6 students. || adjective :: Express post :: arrives 3 to 5 days earlier than normal post.,"Express is of Latin origin, from expressare, || meaning ‘to press out’ but also ‘to represent, describe, or || speak one’s mind’. || It originally meant ‘to represent in visual arts, or put into words’, which may have been related to the process of creating art using clay – literally ‘pressing out’ the clay into a new shape. || Expressare is also the source of the Italian word espresso, which is a type of coffee made by forcing very hot water through ground coffee beans.","ex:out, away + press:to press or hold tight => express",express + s || express + ed || express + ing || express + ible || express + ion || express + or || express + s || express + ive || express + ly,,,
1,1,8,4,compress,com | press,,To compress something is to squeeze it to take up less space.,"If you have a large box for recycling, you may need to compress so it fits in the wheelie bin.",Travellers often need to compress their clothes so that they all fit in the suitcase.,Deep-sea divers are at risk of compression sickness when the water pressure on their bodies changes too quickly.,"If you fold clothes to fit in your drawer, they should take up less space, but they are not being compressed because they are not being squeezed to take up less space.",verb :: The rubbish truck :: compressed the rubbish to make more space,"Compress is of Latin origin, from the word compressare, meaning ‘to press together’.","com:with, together + press:to press or hold tight => compress",compress + es || compress + ed || compress + ing || compress + ible || compress + ion || compress + or || compress + s || compress + ive || compress + ly,Write sentences using at least two of the words you build.,,
1,1,9,2,indestructible,in | des | truct | ible,,"If something is indestructible, it is very strong and cannot be destroyed.",Dog toys are sometimes advertised as being indestructible even with very rough dogs!,"Engineers work hard to make buildings, bridges and other structures indestructible so that they’re safe for people to use them.","Because crocodiles and cockroaches have existed since prehistoric times, they are sometimes described as indestructible.",,adjective :: The plane’s black box :: was indestructible.,"Indestructible and destructible are of Latin origin, from the word destructibilis, meaning ‘capable of being destroyed’.","in:not + de:un, down, off, totally, out, away + struct:to build or pile up + ible:capable of => indestructible",,Example or non-example? || An army tank || Cast iron frying pan || A wooden shack by the beach || A chicken egg || A Lego brick,,
1,1,9,3,transaction,trans | ac | tion,,A transaction is an act of buying or selling something.,You might get a receipt after a transaction in a shop.,Most transactions at the school canteen use cash instead of a bank card.,Banks sometimes charge a fee for a transaction made using a credit card.,"If you donate something to an op shop, that is not a transaction because you are not getting something in return – it is being given, not sold.",noun :: The supermarket :: made over 100 transactions in one day.,"Transaction is of Latin origin, from transactionem, meaning ‘an agreement or accomplishment’.","trans:beyond, across + act:to do + ion:noun of action => transaction",transaction + s || transaction + ed || transaction + ing || transaction + s,Would the word transaction be used for these situations? || Explain why/why not: || You pay the bus driver for a ticket to school. || A boy gives his sister a present for her birthday. || Your neighbour gives you $5 to sponsor you in the school fun run. || Your neighbour buys a fundraising chocolate from you.,,
